# Time-averaged data for fix ave
# TimeStep v_temp v_peratom_en v_h2
1000 16.684 -7.42205 0.001854
2000 65.1964 -7.41203 0.00139821
3000 113.645 -7.39972 0.00418658
4000 142.096 -7.39201 0.00696191
5000 152.864 -7.38945 0.00579224
6000 159.916 -7.38495 0.0105067
7000 213.02 -7.37313 0.00955191
8000 262.892 -7.35884 0.0186845
9000 262.397 -7.35286 0.0222865
10000 292.424 -7.35368 0.0293979
11000 326.283 -7.34958 0.0279564
12000 351.505 -7.3364 0.0492598
13000 420.177 -7.32156 0.0617357
14000 446.059 -7.3162 0.0585225
15000 406.899 -7.31842 0.0590651
16000 451.756 -7.31382 0.0460011
17000 521.457 -7.2975 0.0434223
18000 585.139 -7.28011 0.03669
19000 612.714 -7.27561 0.0288862
20000 559.861 -7.28005 0.0541826
