# Time-averaged data for fix ave
# TimeStep v_temp v_peratom_en v_h2
1000 17.6402 -7.42472 0.00108306
2000 58.951 -7.41378 0.0116928
3000 113.5 -7.40136 0.0317703
4000 127.731 -7.39776 0.0350223
5000 127.318 -7.39618 0.0264118
6000 177.315 -7.38745 0.0319966
7000 201.322 -7.37268 0.0524012
8000 249.411 -7.36206 0.0639256
9000 266.797 -7.36163 0.0576143
10000 258.113 -7.35959 0.0518814
11000 321.477 -7.34846 0.0667528
12000 376.147 -7.33196 0.0819043
13000 426.617 -7.32218 0.0690263
14000 419.174 -7.32322 0.0515788
15000 422.942 -7.3205 0.0320617
16000 491.279 -7.30843 0.0305989
17000 527.288 -7.29277 0.0560228
18000 545.291 -7.28416 0.0934058
19000 562.035 -7.28554 0.110952
20000 556.517 -7.28594 0.098712
